id,english,turkish,image_file,audio_en_file,audio_tr_file
37,my,benim,my.webp,ing_037.mp3,tr_037.mp3
38,bag,çanta,bag.webp,ing_038.mp3,tr_038.mp3
39,dog,köpek,dog.webp,ing_039.mp3,tr_039.mp3
40,cat,kedi,cat.webp,ing_040.mp3,tr_040.mp3
41,rabbit,tavşan,rabbit.webp,ing_041.mp3,tr_041.mp3
42,man,adam,man.webp,ing_042.mp3,tr_042.mp3
43,woman,kadın,woman.webp,ing_043.mp3,tr_043.mp3
44,boy,erkek çocuk,boy.webp,ing_044.mp3,tr_044.mp3
45,girl,kız çocuk,045.webp,ing_045.mp3,tr_045.mp3
46,who,kim,046.webp,ing_046.mp3,tr_046.mp3
47,he,o (erkek),he.webp,ing_047.mp3,tr_047.mp3
48,she,o (kadın),she.webp,ing_048.mp3,tr_048.mp3
49,it,o (cansız/hayvan),it.webp,ing_049.mp3,tr_049.mp3
50,is,dır/dir,050.webp,ing_050.mp3,tr_050.mp3
51,mine,benimki,mine.webp,ing_051.mp3,tr_051.mp3
52,we,biz,we.webp,ing_052.mp3,tr_052.mp3
53,they,onlar,they.webp,ing_053.mp3,tr_053.mp3
54,are,olmak (are),are.webp,ing_054.mp3,tr_054.mp3
55,good,iyi,good.webp,ing_055.mp3,tr_055.mp3
56,bad,kötü,056.webp,ing_056.mp3,tr_056.mp3
57,very,çok,very.webp,ing_057.mp3,tr_057.mp3
58,big,büyük,big.webp,ing_058.mp3,tr_058.mp3
59,small,küçük,small.webp,ing_059.mp3,tr_059.mp3
60,red,kırmızı,red.webp,ing_060.mp3,tr_060.mp3
61,blue,mavi,blue.webp,ing_061.mp3,tr_061.mp3
62,green,yeşil,green.webp,ing_062.mp3,tr_062.mp3
63,a,bir,063.webp,ing_063.mp3,tr_063.mp3
64,book,kitap,book.webp,ing_064.mp3,tr_064.mp3
65,pen,kalem,pen.webp,ing_065.mp3,tr_065.mp3
66,paper,kağıt,paper.webp,ing_066.mp3,tr_066.mp3
67,notebook,defter,notebook.webp,ing_067.mp3,tr_067.mp3
68,read,okumak,read.webp,ing_068.mp3,tr_068.mp3
69,write,yazmak,write.webp,ing_069.mp3,tr_069.mp3
70,look,bakmak,look.webp,ing_070.mp3,tr_070.mp3
71,see,görmek,see.webp,ing_071.mp3,tr_071.mp3
72,friend,arkadaş,friend.webp,ing_072.mp3,tr_072.mp3
73,play,oynamak,play.webp,ing_073.mp3,tr_073.mp3
74,with,ile,with.webp,ing_074.mp3,tr_074.mp3
75,monkey,maymun,075.webp,ing_075.mp3,tr_075.mp3
76,love,sevmek,love.webp,ing_076.mp3,tr_076.mp3
77,happy,mutlu,happy.webp,ing_077.mp3,tr_077.mp3
78,but,ama,but.webp,ing_078.mp3,tr_078.mp3
79,sad,üzgün,sad.webp,ing_079.mp3,tr_079.mp3
80,one,bir,one.webp,ing_080.mp3,tr_080.mp3
81,two,iki,two.webp,ing_081.mp3,tr_081.mp3
82,three,üç,three.webp,ing_082.mp3,tr_082.mp3
83,four,dört,083.webp,ing_083.mp3,tr_083.mp3
84,five,beş,five.webp,ing_084.mp3,tr_084.mp3
85,six,altı,six.webp,ing_085.mp3,tr_085.mp3
86,seven,yedi,seven.webp,ing_086.mp3,tr_086.mp3
87,eight,sekiz,eight.webp,ing_087.mp3,tr_087.mp3
88,nine,dokuz,nine.webp,ing_088.mp3,tr_088.mp3
89,ten,on,ten.webp,ing_089.mp3,tr_089.mp3
90,eat,yemek,eat.webp,ing_090.mp3,tr_090.mp3
91,drink,içmek,drink.webp,ing_091.mp3,tr_091.mp3
92,bread,ekmek,bread.webp,ing_092.mp3,tr_092.mp3
93,and,ve,and.webp,ing_093.mp3,tr_093.mp3
94,apple,elma,apple.webp,ing_094.mp3,tr_094.mp3
95,banana,muz,banana.webp,ing_095.mp3,tr_095.mp3
96,cow,inek,cow.webp,ing_096.mp3,tr_096.mp3
97,horse,at,horse.webp,ing_097.mp3,tr_097.mp3
98,sheep,koyun,sheep.webp,ing_098.mp3,tr_098.mp3
99,duck,ördek,duck.webp,ing_099.mp3,tr_099.mp3
100,donkey,eşek,donkey.webp,ing_100.mp3,tr_100.mp3
101,hungry,aç,hungry.webp,ing_101.mp3,tr_101.mp3
102,thirsty,susamış,thirsty.webp,ing_102.mp3,tr_102.mp3
103,milk,süt,milk.webp,ing_103.mp3,tr_103.mp3
104,juice,meyve suyu,juice.webp,ing_104.mp3,tr_104.mp3
105,cup,fincan,cup.webp,ing_105.mp3,tr_105.mp3
106,bottle,şişe,bottle.webp,ing_106.mp3,tr_106.mp3
107,ok,tamam,107.webp,ing_107.mp3,tr_107.mp3
108,wait,bekle,108.webp,ing_108.mp3,tr_108.mp3
109,now,şimdi,now.webp,ing_109.mp3,tr_109.mp3
110,time,zaman,time.webp,ing_110.mp3,tr_110.mp3
111,put,koymak,111.webp,ing_111.mp3,tr_111.mp3
112,on,üstünde,on.webp,ing_112.mp3,tr_112.mp3
113,table,masa,table.webp,ing_113.mp3,tr_113.mp3
114,chair,sandalye,chair.webp,ing_114.mp3,tr_114.mp3
115,sit,oturmak,sit.webp,ing_115.mp3,tr_115.mp3
116,stand,ayakta durmak,stand.webp,ing_116.mp3,tr_116.mp3
117,in,içinde,in.webp,ing_117.mp3,tr_117.mp3
118,your,senin,your.webp,ing_118.mp3,tr_118.mp3
119,box,kutu,box.webp,ing_119.mp3,tr_119.mp3
120,yours,seninki,120.webp,ing_120.mp3,tr_120.mp3
121,mother,anne,mother.webp,ing_121.mp3,tr_121.mp3
122,father,baba,father.webp,ing_122.mp3,tr_122.mp3
123,son,oğul,son.webp,ing_123.mp3,tr_123.mp3
124,daughter,kız evlat,daughter.webp,ing_124.mp3,tr_124.mp3
125,sister,kız kardeş,sister.webp,ing_125.mp3,tr_125.mp3
126,brother,erkek kardeş,brother.webp,ing_126.mp3,tr_126.mp3
127,family,aile,family.webp,ing_127.mp3,tr_127.mp3
128,his,onun (erkek),his.webp,ing_128.mp3,tr_128.mp3
129,her,onun (kadın),her.webp,ing_129.mp3,tr_129.mp3
130,hers,onunki (kadın),hers.webp,ing_130.mp3,tr_130.mp3
131,ours,bizimki,ours.webp,ing_131.mp3,tr_131.mp3
132,theirs,onlarınki,132.webp,ing_132.mp3,tr_132.mp3
133,make,yapmak,make.webp,ing_133.mp3,tr_133.mp3
134,kitchen,mutfak,kitchen.webp,ing_134.mp3,tr_134.mp3
135,breakfast,kahvaltı,breakfast.webp,ing_135.mp3,tr_135.mp3
136,lunch,öğle yemeği,lunch.webp,ing_136.mp3,tr_136.mp3
137,dinner,akşam yemeği,dinner.webp,ing_137.mp3,tr_137.mp3
138,plate,tabak,plate.webp,ing_138.mp3,tr_138.mp3
139,spoon,kaşık,spoon.webp,ing_139.mp3,tr_139.mp3
140,fork,çatal,fork.webp,ing_140.mp3,tr_140.mp3
141,knife,bıçak,knife.webp,ing_141.mp3,tr_141.mp3
142,tea,çay,tea.webp,ing_142.mp3,tr_142.mp3
143,or,veya,or.webp,ing_143.mp3,tr_143.mp3
144,coffee,kahve,coffee.webp,ing_144.mp3,tr_144.mp3
145,glass,bardak,glass.webp,ing_145.mp3,tr_145.mp3
146,sugar,şeker,sugar.webp,ing_146.mp3,tr_146.mp3
147,salt,tuz,salt.webp,ing_147.mp3,tr_147.mp3
148,hot,sıcak,148.webp,ing_148.mp3,tr_148.mp3
149,cold,soğuk,cold.webp,ing_149.mp3,tr_149.mp3
150,thank you,teşekkür ederim,thank you.webp,ing_150.mp3,tr_150.mp3
151,school,okul,school.webp,ing_151.mp3,tr_151.mp3
152,class,sınıf,class.webp,ing_152.mp3,tr_152.mp3
153,teacher,öğretmen,teacher.webp,ing_153.mp3,tr_153.mp3
154,student,öğrenci,student.webp,ing_154.mp3,tr_154.mp3
155,learn,öğrenmek,learn.webp,ing_155.mp3,tr_155.mp3
156,study,ders çalışmak,study.webp,ing_156.mp3,tr_156.mp3
157,desk,sıra,desk.webp,ing_157.mp3,tr_157.mp3
158,board,tahta,board.webp,ing_158.mp3,tr_158.mp3
159,computer,bilgisayar,computer.webp,ing_159.mp3,tr_159.mp3
160,phone,telefon,phone.webp,ing_160.mp3,tr_160.mp3
161,call,aramak,161.webp,ing_161.mp3,tr_161.mp3
162,picture,resim,picture.webp,ing_162.mp3,tr_162.mp3
163,work,iş,work.webp,ing_163.mp3,tr_163.mp3
164,busy,meşgul,busy.webp,ing_164.mp3,tr_164.mp3
165,can,yapabilmek,can.webp,ing_165.mp3,tr_165.mp3
166,can't,yapamamak,can't.webp,ing_166.mp3,tr_166.mp3
167,do,yapmak,do.webp,ing_167.mp3,tr_167.mp3
168,money,para,money.webp,ing_168.mp3,tr_168.mp3
169,without,sız/siz,without.webp,ing_169.mp3,tr_169.mp3
170,market,market,market.webp,ing_170.mp3,tr_170.mp3
171,shop,dükkan,shop.webp,ing_171.mp3,tr_171.mp3
172,buy,satın almak,172.webp,ing_172.mp3,tr_172.mp3
173,get,almak,get.webp,ing_173.mp3,tr_173.mp3
174,some,biraz,some.webp,ing_174.mp3,tr_174.mp3
175,cheese,peynir,cheese.webp,ing_175.mp3,tr_175.mp3
176,sandwich,sandviç,sandwich.webp,ing_176.mp3,tr_176.mp3
177,meat,et,meat.webp,ing_177.mp3,tr_177.mp3
178,chicken,tavuk,chicken.webp,ing_178.mp3,tr_178.mp3
179,fish,balık,fish.webp,ing_179.mp3,tr_179.mp3
180,more,daha fazla,more.webp,ing_180.mp3,tr_180.mp3
181,rice,pirinç,rice.webp,ing_181.mp3,tr_181.mp3
182,pasta,makarna,pasta.webp,ing_182.mp3,tr_182.mp3
183,soup,çorba,soup.webp,ing_183.mp3,tr_183.mp3
184,salad,salata,salad.webp,ing_184.mp3,tr_184.mp3
185,vegetable,sebze,vegetable.webp,ing_185.mp3,tr_185.mp3
186,potato,patates,potato.webp,ing_186.mp3,tr_186.mp3
187,tomato,domates,187.webp,ing_187.mp3,tr_187.mp3
188,enough,yeterli,enough.webp,ing_188.mp3,tr_188.mp3
189,fruit,meyve,fruit.webp,ing_189.mp3,tr_189.mp3
190,egg,yumurta,egg.webp,ing_190.mp3,tr_190.mp3
191,sick,hasta,sick.webp,ing_191.mp3,tr_191.mp3
192,doctor,doktor,doctor.webp,ing_192.mp3,tr_192.mp3
193,medicine,ilaç,medicine.webp,ing_193.mp3,tr_193.mp3
194,hospital,hastane,hospital.webp,ing_194.mp3,tr_194.mp3
195,hurt,acımak,hurt.webp,ing_195.mp3,tr_195.mp3
196,pain,ağrı,pain.webp,ing_196.mp3,tr_196.mp3
197,well,iyi,well.webp,ing_197.mp3,tr_197.mp3
198,clean,temiz,clean.webp,ing_198.mp3,tr_198.mp3
199,dirty,kirli,dirty.webp,ing_199.mp3,tr_199.mp3
200,wash,yıkamak,wash.webp,ing_200.mp3,tr_200.mp3
201,face,yüz,face.webp,ing_201.mp3,tr_201.mp3
202,hand,el,202.webp,ing_202.mp3,tr_202.mp3
203,soap,sabun,soap.webp,ing_203.mp3,tr_203.mp3
204,towel,havlu,towel.webp,ing_204.mp3,tr_204.mp3
205,bathroom,banyo,bathroom.webp,ing_205.mp3,tr_205.mp3
206,toilet,tuvalet,toilet.webp,ing_206.mp3,tr_206.mp3
207,toilet paper,tuvalet kağıdı,207.webp,ing_207.mp3,tr_207.mp3
208,new,yeni,new.webp,ing_208.mp3,tr_208.mp3
209,old,eski,old.webp,ing_209.mp3,tr_209.mp3
210,car,araba,car.webp,ing_210.mp3,tr_210.mp3
211,bus,otobüs,bus.webp,ing_211.mp3,tr_211.mp3
212,road,yol,road.webp,ing_212.mp3,tr_212.mp3
213,street,cadde,street.webp,ing_213.mp3,tr_213.mp3
214,from,den/dan,from.webp,ing_214.mp3,tr_214.mp3
215,city,şehir,city.webp,ing_215.mp3,tr_215.mp3
216,walk,yürümek,walk.webp,ing_216.mp3,tr_216.mp3
217,run,koşmak,run.webp,ing_217.mp3,tr_217.mp3
218,fast,hızlı,fast.webp,ing_218.mp3,tr_218.mp3
219,slow,yavaş,slow.webp,ing_219.mp3,tr_219.mp3
220,park,park,park.webp,ing_220.mp3,tr_220.mp3
221,yellow,sarı,yellow.webp,ing_221.mp3,tr_221.mp3
222,six,altı,six.webp,ing_222.mp3,tr_222.mp3
223,white,beyaz,white.webp,ing_223.mp3,tr_223.mp3
224,seven,yedi,seven.webp,ing_224.mp3,tr_224.mp3
225,black,siyah,black.webp,ing_225.mp3,tr_225.mp3
226,eight,sekiz,eight.webp,ing_226.mp3,tr_226.mp3
227,orange,turuncu,orange.webp,ing_227.mp3,tr_227.mp3
228,find,bulmak,228.webp,ing_228.mp3,tr_228.mp3
229,lose,kaybetmek,229.webp,ing_229.mp3,tr_229.mp3
230,bring,getirmek,bring.webp,ing_230.mp3,tr_230.mp3
231,hold,tutmak,hold.webp,ing_231.mp3,tr_231.mp3
232,change,değiştirmek,change.webp,ing_232.mp3,tr_232.mp3
233,use,kullanmak,233.webp,ing_233.mp3,tr_233.mp3
234,same,aynı,same.webp,ing_234.mp3,tr_234.mp3
235,different,farklı,different.webp,ing_235.mp3,tr_235.mp3
236,easy,kolay,236.webp,ing_236.mp3,tr_236.mp3
237,hard,zor,hard.webp,ing_237.mp3,tr_237.mp3
238,free,özgür/bedava,free.webp,ing_238.mp3,tr_238.mp3
239,today,bugün,today.webp,ing_239.mp3,tr_239.mp3
240,Monday,Pazartesi,240.webp,ing_240.mp3,tr_240.mp3
241,tomorrow,yarın,241.webp,ing_241.mp3,tr_241.mp3
242,Tuesday,Salı,242.webp,ing_242.mp3,tr_242.mp3
243,yesterday,dün,243.webp,ing_243.mp3,tr_243.mp3
244,Wednesday,Çarşamba,wednesday.webp,ing_244.mp3,tr_244.mp3
245,morning,sabah,morning.webp,ing_245.mp3,tr_245.mp3
246,Thursday,Perşembe,thursday.webp,ing_246.mp3,tr_246.mp3
247,afternoon,öğleden sonra,247.webp,ing_247.mp3,tr_247.mp3
248,Friday,Cuma,friday.webp,ing_248.mp3,tr_248.mp3
249,evening,akşam,evening.webp,ing_249.mp3,tr_249.mp3
250,Saturday,Cumartesi,saturday.webp,ing_250.mp3,tr_250.mp3
251,night,gece,night.webp,ing_251.mp3,tr_251.mp3
252,Sunday,Pazar,sunday.webp,ing_252.mp3,tr_252.mp3
253,day,gün,day.webp,ing_253.mp3,tr_253.mp3
254,week,hafta,254.webp,ing_254.mp3,tr_254.mp3
255,month,ay,255.webp,ing_255.mp3,tr_255.mp3
256,year,yıl,year.webp,ing_256.mp3,tr_256.mp3
257,weekend,hafta sonu,257.webp,ing_257.mp3,tr_257.mp3
258,late,geç,late.webp,ing_258.mp3,tr_258.mp3
259,early,erken,early.webp,ing_259.mp3,tr_259.mp3
260,all,hepsi,260.webp,ing_260.mp3,tr_260.mp3
261,try,denemek,try.webp,ing_261.mp3,tr_261.mp3
262,again,tekrar,262.webp,ing_262.mp3,tr_262.mp3
263,start,başlamak,start.webp,ing_263.mp3,tr_263.mp3
264,finish,bitirmek,finish.webp,ing_264.mp3,tr_264.mp3
265,ready,hazır,ready.webp,ing_265.mp3,tr_265.mp3
266,turn on,açmak (elektronik),266.webp,ing_266.mp3,tr_266.mp3
267,turn off,kapatmak (elektronik),267.webp,ing_267.mp3,tr_267.mp3
268,wake up,uyanmak,wake up.webp,ing_268.mp3,tr_268.mp3
269,leave,ayrılmak,leave.webp,ing_269.mp3,tr_269.mp3
270,hear,duymak,270.webp,ing_270.mp3,tr_270.mp3
271,listen,dinlemek,listen.webp,ing_271.mp3,tr_271.mp3
272,speak,konuşmak,speak.webp,ing_272.mp3,tr_272.mp3
273,say,söylemek,273.webp,ing_273.mp3,tr_273.mp3
274,tell,anlatmak,tell.webp,ing_274.mp3,tr_274.mp3
275,ask,sormak,ask.webp,ing_275.mp3,tr_275.mp3
276,answer,cevaplamak,276.webp,ing_276.mp3,tr_276.mp3
277,question,soru,question.webp,ing_277.mp3,tr_277.mp3
278,word,kelime,word.webp,ing_278.mp3,tr_278.mp3
279,know,bilmek,know.webp,ing_279.mp3,tr_279.mp3
280,think,düşünmek,think.webp,ing_280.mp3,tr_280.mp3
281,idea,fikir,idea.webp,ing_281.mp3,tr_281.mp3
282,body,vücut,body.webp,ing_282.mp3,tr_282.mp3
283,head,baş,283.webp,ing_283.mp3,tr_283.mp3
284,eye,göz,eye.webp,ing_284.mp3,tr_284.mp3
285,ear,kulak,ear.webp,ing_285.mp3,tr_285.mp3
286,mouth,ağız,mouth.webp,ing_286.mp3,tr_286.mp3
287,nose,burun,nose.webp,ing_287.mp3,tr_287.mp3
288,hair,saç,hair.webp,ing_288.mp3,tr_288.mp3
289,arm,kol,arm.webp,ing_289.mp3,tr_289.mp3
290,leg,bacak,leg.webp,ing_290.mp3,tr_290.mp3
291,foot,ayak (tek),291.webp,ing_291.mp3,tr_291.mp3
292,feet,ayaklar,292.webp,ing_292.mp3,tr_292.mp3
293,tooth,diş (tek),tooth.webp,ing_293.mp3,tr_293.mp3
294,teeth,dişler,294.webp,ing_294.mp3,tr_294.mp3
295,problem,problem,problem.webp,ing_295.mp3,tr_295.mp3
296,sure,emin,296.webp,ing_296.mp3,tr_296.mp3
297,maybe,belki,maybe.webp,ing_297.mp3,tr_297.mp3
298,left,sol,left.webp,ing_298.mp3,tr_298.mp3
299,right,sağ,right.webp,ing_299.mp3,tr_299.mp3
300,up,yukarı,up.webp,ing_300.mp3,tr_300.mp3
301,down,aşağı,down.webp,ing_301.mp3,tr_301.mp3
302,under,altında,under.webp,ing_302.mp3,tr_302.mp3
303,inside,içinde,inside.webp,ing_303.mp3,tr_303.mp3
304,outside,dışında,outside.webp,ing_304.mp3,tr_304.mp3
305,near,yakın,near.webp,ing_305.mp3,tr_305.mp3
306,far,uzak,far.webp,ing_306.mp3,tr_306.mp3
307,next to,bitişiğinde,307.webp,ing_307.mp3,tr_307.mp3
308,behind,arkasında,308.webp,ing_308.mp3,tr_308.mp3
309,between,arasında,between.webp,ing_309.mp3,tr_309.mp3
310,in front of,önünde,in front of.webp,ing_310.mp3,tr_310.mp3
311,why,neden,why.webp,ing_311.mp3,tr_311.mp3
312,because,çünkü,because.webp,ing_312.mp3,tr_312.mp3
313,so,bu yüzden,so.webp,ing_313.mp3,tr_313.mp3
314,twenty,yirmi,twenty.webp,ing_314.mp3,tr_314.mp3
315,thirty,otuz,thirty.webp,ing_315.mp3,tr_315.mp3
316,fifty,elli,fifty.webp,ing_316.mp3,tr_316.mp3
317,hundred,yüz,hundred.webp,ing_317.mp3,tr_317.mp3
318,sorry,özür dilerim,sorry.webp,ing_318.mp3,tr_318.mp3
319,excuse me,affedersiniz,excuse me.webp,ing_319.mp3,tr_319.mp3
320,goodbye,hoşçakal,goodbye.webp,ing_320.mp3,tr_320.mp3
321,bye,bay bay,321.webp,ing_321.mp3,tr_321.mp3
322,later,sonra,later.webp,ing_322.mp3,tr_322.mp3
